"Access","Time (UTCG)","Noise Density (dBW/Hz)","S/T SNR1 (dB)","S/T PDet1","S/T Integrated SNR (dB)","S/T Integrated PDet","S/T Pulses Integrated","S/T Integration Time (sec)","S/T Dwell Time (sec)","S/T Noise Bandwidth (MHz)","S/T Noise Power (dBW)","S/T Ambig Tgt Velocity (m/s)","S/T Ambig MLC Velocity (m/s)","S/T Ambig Tgt Range (km)","S/T Integ. Det. Thresh. (dB)","S/T Integ. CFAR Multiple"
1,1 May 2024 19:33:20.000,-203.975159,-12.9458,0.000151,14.1469,0.005363,512,0.5110,0.5129,30.000,-129.204,-3.572,0.000,130.190777,27.7847,0.000000
1,1 May 2024 19:33:23.000,-203.975159,-12.8999,0.000151,14.1928,0.005545,512,0.5110,0.5129,30.000,-129.204,-3.572,0.000,129.451002,27.7847,0.000000
1,1 May 2024 19:33:26.000,-203.975159,-12.8538,0.000152,14.2389,0.005750,512,0.5110,0.5129,30.000,-129.204,-3.573,0.000,128.711229,27.7847,0.000000
1,1 May 2024 19:33:29.000,-203.975159,-12.8076,0.000153,14.2851,0.005950,512,0.5110,0.5129,30.000,-129.204,-3.573,0.000,127.971457,27.7847,0.000000
1,1 May 2024 19:33:32.000,-203.975159,-12.7613,0.000153,14.3314,0.006172,512,0.5110,0.5128,30.000,-129.204,-3.574,0.000,127.231687,27.7847,0.000000
1,1 May 2024 19:33:35.000,-203.975159,-12.7149,0.000154,14.3778,0.006391,512,0.5110,0.5128,30.000,-129.204,-3.574,0.000,126.491918,27.7847,0.000000
1,1 May 2024 19:33:38.000,-203.975159,-12.6683,0.000154,14.4244,0.006618,512,0.5110,0.5128,30.000,-129.204,-3.575,0.000,125.752151,27.7847,0.000000
1,1 May 2024 19:33:41.000,-203.975159,-12.6216,0.000155,14.4711,0.006872,512,0.5110,0.5128,30.000,-129.204,-3.576,0.000,125.012385,27.7847,0.000000
1,1 May 2024 19:33:44.000,-203.975159,-12.5748,0.000156,14.5179,0.007121,512,0.5110,0.5128,30.000,-129.204,-3.576,0.000,124.272621,27.7847,0.000000
1,1 May 2024 19:33:47.000,-203.975159,-12.5279,0.000156,14.5648,0.007380,512,0.5110,0.5128,30.000,-129.204,-3.577,0.000,123.532858,27.7847,0.000000
1,1 May 2024 19:33:50.000,-203.975159,-12.4808,0.000157,14.6119,0.007671,512,0.5110,0.5128,30.000,-129.204,-3.577,0.000,122.793097,27.7847,0.000000
1,1 May 2024 19:33:53.000,-203.975159,-12.4336,0.000158,14.6591,0.007956,512,0.5110,0.5128,30.000,-129.204,-3.578,0.000,122.053337,27.7847,0.000000
1,1 May 2024 19:33:56.000,-203.975159,-12.3863,0.000158,14.7064,0.008273,512,0.5110,0.5128,30.000,-129.204,-3.579,0.000,121.313580,27.7847,0.000000
1,1 May 2024 19:33:59.000,-203.975159,-12.3389,0.000159,14.7538,0.008586,512,0.5110,0.5128,30.000,-129.204,-3.579,0.000,120.573823,27.7847,0.000000
1,1 May 2024 19:34:02.000,-203.975159,-12.2913,0.000160,14.8014,0.008933,512,0.5110,0.5128,30.000,-129.204,-3.580,0.000,119.834069,27.7847,0.000000
1,1 May 2024 19:34:05.000,-203.975159,-12.2436,0.000160,14.8491,0.009277,512,0.5110,0.5128,30.000,-129.204,-3.581,0.000,119.094316,27.7847,0.000000
